Name,Latitude,Longitude,Theme,Contact Number,Website / Social Media
Joe's Beerhouse,-22.55067789,17.09027869,Local Namibian Cuisine,2.65E+11,http://www.joesbeerhouse.com/
Kapana in Town,-22.56542685,17.08003191,Local Namibian Cuisine,2.65E+11,No website
Namib Smoked Meat House,-22.60878028,17.09421541,Local Namibian Cuisine,2.65E+11,https://www.facebook.com/Meataterian?mibextid=ZbWKwL
Pepata Restaurant,-22.55891375,17.07583692,Local Namibian Cuisine,2.65E+11,https://www.facebook.com/pepatacuisines/
Studio Pub & Grill,-22.5767425,17.07465132,Local Namibian Cuisine,2.65E+11,https://www.instagram.com/studiopubgrillnam/?hl=en
Nunus_kitchen&lounge,-22.55916767,17.0812914,Local Namibian Cuisine,2.65E+11,https://www.instagram.com/_nunus_kitchen_/?hl=en
Sai's Kitchen,-22.50129012,17.01646821,Local Namibian Cuisine,2.65E+11,https://www.instagram.com/sais_kitchen/
Single Quarters Kapana,-22.52938207,17.05162986,Local Namibian Cuisine,,No website
Kamaya Restaurant,-22.56234576,17.08575978,Local Namibian Cuisine,26461243200,https://www.instagram.com/katakombe_restaurant/
Xwama Traditional Restaurant,-22.52295806,17.03212151,Local Namibian Cuisine,2.65E+11,http://www.xwama.com/
Daisho Sushi,-22.5676431,17.11004532,International Flavors,2.65E+11,https://www.daishosushibar.com/
Desi Dhaba,-22.62096672,17.09022854,International Flavors,2.65E+11,https://www.facebook.com/Desiidhabaa
Donkiesbaai Seafood & Sushi,-22.57169894,17.1068125,International Flavors,2.65E+11,https://restaurant.donkiesbaai.com/
Djamilas Kitchen,-22.60255838,17.06399642,International Flavors,2.65E+11,https://www.instagram.com/djamilaskitchen/?hl=en
Francesco,-22.55250999,17.08713084,International Flavors,2.65E+11,https://linktr.ee/francescorestaurant
Indolicious,-22.58237539,17.09338589,International Flavors,2.65E+11,https://www.instagram.com/indolicious_namibia/?hl=en
Kubata Restaurant,-22.5514065,17.09159898,International Flavors,2.65E+11,http://www.kubata.com.na/
O Portuga Restaurant,-22.57168879,17.10394051,International Flavors,26461272900,https://www.instagram.com/oportuga_restaurant_/
Seoul Food,-22.55290525,17.08770778,International Flavors,2.65E+11,https://www.instagram.com/seoulfoodnam/?hl=en
Js Taste of India,-22.56897809,17.08406727,International Flavors,2.65E+11,https://www.facebook.com/jstasteofindia/
